[ssm_oa][INFO] [2016-07-19 17:27:11] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue Jul 19 17:27:11 CST 2016]; parent: Root WebApplicationContext
[ssm_oa][INFO] [2016-07-19 17:27:11] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [file:/G:/myoaRepo/oa-parent/oa-web/target/classes/spring/spring-mvc.xml]
[ssm_oa][INFO] [2016-07-19 17:27:12] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(314) | Mapped URL path [/static/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/login]}" onto public com.shupro.oa.vo.Result com.shupro.oa.admin.controller.LoginController.login(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/logout],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.LoginController.logout(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/logout],methods=[POST]}" onto public com.shupro.oa.vo.Result com.shupro.oa.admin.controller.LoginController.logoutAjax(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.init()
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.list(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.save(com.shupro.oa.admin.model.SysDept)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/delete/{id}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.delete(int)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/deletes/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.update(com.shupro.oa.admin.model.SysDept)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/tree]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.tree(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDept/treeGrid]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDeptController.treeGrid(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.init()
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.list(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.save(com.shupro.oa.admin.model.SysDictionary)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/delete/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.update(com.shupro.oa.admin.model.SysDictionary)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysDictionary/select2combo/{pid}]}" onto public java.lang.String com.shupro.oa.admin.controller.SysDictionaryController.select2combo(javax.servlet.http.HttpServletRequest,int)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysLog/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysLogController.init()
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysLog/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysLogController.list(javax.servlet.http.HttpServletRequest)
